,0
0,"LITTLE, ABNER"
1,BLACK PANTHER/T'CHAL
2,"STEELE, SIMON/WOLFGA"
3,"RAVEN, SABBATH II/EL"
4,IRON MAN IV/JAMES R.
5,IRON MAN/TONY STARK 
6,"ERWIN, CLYTEMNESTRA"
7,PRINCESS ZANDA
8,CARNIVORE/COUNT ANDR
9,GHOST
10,"ZIMMER, ABE"
11,FU MANCHU
12,SHANG-CHI
13,"SMITH, SIR DENIS NAY"
14,STARSHINE II/BRANDY 
15,MAN-THING/THEODORE T
16,"TARR, BLACK JACK"
17,"WU, LEIKO"
18,"JACKSON, STEVE"
19,"RESTON, CLIVE"
20,"ROM, SPACEKNIGHT"
21,DOCTOR DREDD
22,MYSTIQUE/RAVEN DARKH
23,HYBRID/JAMES JIMMY M
24,DESTINY II/IRENE ADL
25,ROGUE /
26,AVALANCHE/DOMINIC PE
27,PYRO/ALLERDYCE JOHNN
28,TORPEDO III/BROCK JO
29,"CLARK, SARAH"
30,"CLARK, JOHN"
31,"JONES, DANIEL DANNY"
32,"JONES, NELL"
33,"JONES, LORRAINE LORR"
34,"JONES, TAMMY ANNE"
35,"KILLBURN, MACK"
36,VASHTI
37,SUB-MARINER/NAMOR MA
38,NOVA/RICHARD RIDER
39,SPIDER-MAN/PETER PAR
40,NIGHT THRASHER/DUANE
41,HULK/DR. ROBERT BRUC
42,SPEEDBALL/ROBBIE BAL
43,NAMORITA/NITA PRENTI
44,THUNDERBALL/DR. ELIO
45,JUSTICE II/VANCE AST
46,FIRESTAR/ANGELICA JO
47,TIGRA/GREER NELSON
48,QUICKSILVER/PIETRO M
49,SCARLET WITCH/WANDA 
50,LORD CHAOS
51,HAWK
52,SILVER SURFER/NORRIN
53,MOCKINGBIRD/DR. BARB
54,GALACTUS/GALAN
55,UATU
56,CYCLOPS/SCOTT SUMMER
57,GHOST RIDER III/DAN 
58,BEAST/HENRY &HANK& P
59,ANDROMEDA/ANDROMEDA 
60,PUNISHER II/FRANK CA
61,INFINITY II
62,INVISIBLE WOMAN/SUE 
63,THING/BENJAMIN J. GR
64,JUBILEE/JUBILATION L
65,MASTER ORDER
66,DEATH
67,ANGEL/WARREN KENNETH
68,MR. FANTASTIC/REED R
69,IN-BETWEENER
70,KISMET/J'RIDIA STARD
71,ETERNITY/ADAM QADMON
72,STORM/ORORO MUNROE S
73,MARVEL GIRL/JEAN GRE
74,PSYLOCKE/ELISABETH B
75,VISION 
76,SHE-HULK/JENNIFER WA
77,WOLVERINE/LOGAN 
78,OBLIVION
79,DEATHLOK III/MICHAEL
80,WONDER MAN/SIMON WIL
81,THUNDERSTRIKE/ERIC K
82,LIVING LASER/ARTHUR 
83,"CABE, BETHANY"
84,SPYMASTER/JAKE JORDA
85,"HOGAN, HAROLD J. HAP"
86,BATROC/GEORGES BATRO
87,"CARTER, SHARON"
88,"FORTUNE, DOMINIC"
89,KARNILLA [ASGARDIAN]
90,NIGHTMARE/EDVARD HAB
91,LOKI [ASGARDIAN]
92,ENCHANTRESS/AMORA/HE
93,ZANIAC/BRAD WOLFE
94,SONIC
95,"CARPENTER, LARRY"
96,"COOPER, DR. VALERIE"
97,"CLEMSON, MIKE"
98,GRASP
99,"CARPENTER, RACHEL"
100,SPIDER-WOMAN II/JULI
101,RED GUARDIAN III/DR.
102,"NORRISS, SISTER BARB"
103,DEVIL-SLAYER/ERIC SI
104,NIGHTHAWK II/KYLE RI
105,HELLCAT/PATSY WALKER
106,DOLLAR BILL
107,"BANNER, BETTY ROSS T"
108,"ARMBRUSTER, COLONEL "
109,"ROBERTS, TED"
110,MASTERMIND/JASON WYN
111,COBALT MAN
112,"ROSS, GEN. THADDEUS "
113,GORGON [INHUMAN]
114,KARNAK [INHUMAN]
115,TRITON
116,BLACK BOLT/BLACKANTO
117,CRYSTAL [INHUMAN]
118,MAN-BEAST
119,ANALYZER
120,WARLOCK II/ADAM WARL
121,ABOMINATION/EMIL BLO
122,"WILSON, JIM"
123,RHINO
124,"CORBEAU, DR. PETER"
125,PROFESSOR X/CHARLES 
126,MISSING LINK
127,"BRICKFORD, CLAY"
128,"STACY, PAUL"
129,"STACY, JILL"
130,"STACY, ARTHUR"
131,"PARKER, MAY"
132,BLADE
133,KINGPIN/WILSON FISK
134,"LEEDS, BETTY BRANT"
135,MORBIUS/DR. MICHAEL 
136,"FORTUNATO, GIACOMO J"
137,"GARTH, DONNA"
138,"WATSON, ANNA"
139,"SPAULDING, PETER"
140,ULTRON
141,"GARVIN, GEARS"
142,JOCASTA
143,"CALDRONE, JAVIER"
144,"LUMLEY, JUDY"
145,"MAXWELL, MORRIS"
146,"THORSON, DR. WALTER"
147,"THOMPSON, EUGENE FLA"
148,"WATSON-PARKER, MARY "
149,ICEMAN/ROBERT BOBBY 
150,OVERRIDE/DR. GREGORY
151,"KWAN, TERRY"
152,"URICH, BEN"
153,DOLMAN
154,THOR/DR. DONALD BLAK
155,TOKKOTS
156,"MCCORMICK, BARRY"
157,"JAMESON, J. JONAH"
158,"FAIRMONT, HANNAH"
159,MANSLAUGHTER
160,CLOUD
161,KUBIK
162,GARGOYLE II/ISAAC CH
163,STAR THIEF II
164,MOONDRAGON/HEATHER D
165,INTERLOPER
166,"SOUTHERN, CANDY"
167,BEYONDER
168,HUMAN TORCH/JOHNNY S
169,DRAGON OF THE MOON
170,DR. OCTOPUS/OTTO OCT
171,BULLSEYE II/BENJAMIN
172,"WARD, SEN. STEWART"
173,MISTER HYDE/CALVIN Z
174,COPPERHEAD III/DAVIS
175,RATTLER
176,BOOMSLANG/
177,PUFF ADDER
178,ANACONDA/BLANCHE SIT
179,ROCK PYTHON
180,BLACK RACER/
181,BLACK MAMBA/TANYA SE
182,FER DE LANCE/TERESA
183,BUSHMASTER II/QUINCY
184,ASP II/CLEO
185,COBRA/KLAUS VORHEES
186,"MOREAU, DAVID"
187,COLOSSUS II/PETER RA
188,"SUMMERS, MADELYNE MA"
189,LONGSHOT
190,DAZZLER II/ALLISON B
191,WIPEOUT
192,HAVOK/ALEX SUMMERS 
193,"MOREAU, PHILLIP"
194,"RANSOME, JENNIFER AM"
195,N'ASTIRH
196,MR. SINISTER/NATHAN 
197,POLARIS/LORNA DANE
198,"SUMMERS, NATHAN CHRI"
199,GATEWAY
200,"TILBY, TRISH/PATRICI"
201,"CONOVER, REV. WILLIA"
202,WOLFSBANE/RAHNE SINC
203,MIRAGE II/DANIELLE M
204,CANNONBALL II/SAM GU
205,MAGNETO/MAGNUS/ERIC 
206,MAGIK/ILLYANA RASPUT
207,SUNSPOT/ROBERTO DACO
208,S'YM
209,WARLOCK III
210,"GRIFFITH, D.W."
211,"CAGE, LUKE/CARL LUCA"
212,"CONOVER, HANNAH"
213,HAWKSHAW
214,PUNCHOUT
215,PIPELINE/CORMICK GRI
216,CAPTAIN AMERICA
217,MOLECULE MAN/OWEN RE
218,ANT-MAN/DR. HENRY J.
219,GHOST RIDER II/JOHNN
220,"JARVIS, EDWIN "
221,WASP/JANET VAN DYNE 
222,"ARBOGAST, BAMBI"
223,"STANKOWICZ, FABIAN"
224,"STARR, TRIXIE TRISH"
225,EGGHEAD/PROF. ELIHAS
226,MOON KNIGHT/MARC SPE
227,BLACK WIDOW/NATASHA 
228,DRAX/ARTHUR DOUGLAS
229,"HARDY, MORGAN MACNEI"
230,SPIDER-MAN CLONE/BEN
231,GRIM HUNTER/KRAVINOF
232,"TREVANE, DET. CONNOR"
233,"RAVEN, LT. JACOB"
234,GREGOR
235,TOMBSTONE/LONNIE THO
236,"BYRNES, GAYLE WATSON"
237,"ELLIS, KEN"
238,KAINE
239,"CAPUTO, DR. JULIA"
240,JACK
241,JACKAL/MILES WARREN
242,GUARDIAN IV
243,"ROBERTSON, JOE"
244,"STACY, GWEN (CLONE)"
245,"TRAINER, DR. SEWARD"
246,STUNNER/ANGELINA BRA
247,"BUCKNER, GRANT"
248,SPIDERCIDE
249,"TRAVELLER, DR. JUDAS"
250,"LOCKER, MR."
251,"TOWER, BLAKE"
252,HINDSIGHT LAD/CARLTO
253,TURBO II (A)/MICHIKO
254,GEE/ALEX POWER
255,SPEEDBALL II/DARRION
256,BLACK CAT/FELICIA HA
257,"PROUST, PAUL"
258,D'SPAYRE
259,MACHETE/FERDINAND LO
260,SILVER SABLE
261,SWORDSMAN/JACQUES DU
262,TRICKSHOT
263,SANDMAN/WILLIAM BAKE
264,RED SKULL II/ALBERT 
265,GUDRUN [ASGARDIAN]
266,ODIN [ASGARDIAN]
267,VIZIER
268,FANDRAL [ASGARDIAN]
269,HOGUN [ASGARDIAN]
270,DOMINO III/BEATRICE/
271,BLAQUESMITH
272,"MERRYWEATHER, IRENE"
273,BLOCKADE/DEXTER PARI
274,STILT-MAN/WILBUR DAY
275,"WORTHINGTON, KATHRYN"
276,VULTURE/ADRIAN TOOME
277,GREEN GOBLIN/NORMAN 
278,"STACY, GWEN"
279,"STACY, CAPT. GEORGE"
280,"OSBORN, HARRY"
281,GREEN GOBLIN III/BAR
282,SILVERMANE/SILVIO MA
283,"GRANT, GLORIA GLORY"
284,"PULASKI, JOSEPHINE J"
285,"IONELLO, JASON"
286,"MCKEEVER, TINY"
287,"OSBORN, LIZ ALLAN"
288,"RICHARDS, FRANKLIN B"
289,ONE ABOVE ALL [CELES
290,GAMMENON [CELESTIAL]
291,ZIRAN
292,ARISHEM [CELESTIAL]
293,WONG
294,DR. STRANGE/STEPHEN 
295,UMAR
296,JESTER/JONATHAN POWE
